classificacao,marca,plataforma,preco,qtd_classificacao,titulo,url
"5,0 de 5 estrelas",Genérico,Amazon,"78,90",2,Calça Jeans Feminina Plus Size Flare Cintura Alta Com Lycra Preta,https://www.amazon.com.br/Cal%C3%A7a-Jeans-Feminina-Flare-Cintura/dp/B0D3B62VDT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-10
"4,1 de 5 estrelas",Fashion Jeans,Amazon,"209,90",602,Kit 3 Calças Jeans Feminina Empina Bumbum Cós Alto,https://www.amazon.com.br/Cal%C3%A7as-Jeans-Feminina-Empina-Bumbum/dp/B097NXV7M5/ref=sr_1_11?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-11&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74
"4,4 de 5 estrelas",BARUDI,Amazon,"78,90",76,Calça Jeans Cintura Alta Feminina Modela Bumbum Com Elastano,https://www.amazon.com.br/Cintura-Feminina-Modela-Bumbum-Elastano/dp/B0BKTWLXZP/ref=sr_1_12?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-12
"3,7 de 5 estrelas",Sawary,Amazon,"121,90",10,"Jeans Calça Boot Cut Feminina, Indígo, 46",https://www.amazon.com.br/Sawary-Jeans-Cal%C3%A7a-Feminina-Ind%C3%ADgo/dp/B09TWYQTFW/ref=sr_1_13?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-13&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
"4,4 de 5 estrelas",Genérico,Amazon,"80,90",102,Calça Jeans Skinny Feminina Cintura Alta Com Lycra Levanta Bumbum Elastano Feminino,https://www.amazon.com.br/Feminina-Cintura-Levanta-Elastano-Feminino/dp/B0CWPL4HBP/ref=sr_1_14?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-14
"5,0 de 5 estrelas",Genérico,Amazon,"78,90",3,Calça Jeans Feminina Plus Size Flare Cintura Alta Com Lycra Azul Escuro,https://www.amazon.com.br/Cal%C3%A7a-Jeans-Feminina-Cintura-Escuro/dp/B0D38GWTLP/ref=sr_1_15?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-15
0,Genérico,Amazon,"158,90",0,Kit 2 (Duas) Calças Jeans Feminina Skinny Levanta Bumbum Cintura Alta Tecido macio de Alta Qualidade Com Elastano Premium.,https://www.amazon.com.br/Feminina-Qualidade-Elastano-Premium-Num%C3%A9rico/dp/B0DHHVF9V2/ref=sr_1_16?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-16&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
"2,0 de 5 estrelas",Genérico,Amazon,"119,90",1,"Calça feminina de perna larga 100% algodão, sem elastano, estilo pantalona, azul, cintura alta",https://www.amazon.com.br/feminina-algod%C3%A3o-elastano-pantalona-Num%C3%A9rico/dp/B0D57WKBXP/ref=sr_1_17?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-17&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
"5,0 de 5 estrelas",Sawary,Amazon,"128,00",3,"Jeans Calça Boot Cut Feminina, Preta, 38",https://www.amazon.com.br/Sawary-Jeans-Cal%C3%A7a-Feminina-Preta/dp/B09TWWH7Z8/ref=sr_1_18?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-18&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
0,Yoyorule,Amazon,"94,50",0,Calça de bolso feminina estampada moda branca vaca solta calça jeans alta calça larga reta feminina,https://www.amazon.com.br/Yoyorule-feminina-estampada-branca-Branco/dp/B0BRL4Y284/ref=sr_1_19?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-19
"5,0 de 5 estrelas",Forum,Amazon,"340,13",4,"Calça Jeans Marisa Skinny, Forum, Feminino",https://www.amazon.com.br/Marisa-Skinny-Forum-Feminino-Indigo/dp/B0BS73B2LQ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-20&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678
